	Match_ID	Status	Duration	Hero ID	Kills	Deaths	Assists	Player ID
47	4213230524	False	2640	17	7	7	18	145240635
48	4210346641	False	3543	10	7	9	21	145240635
49	4208863219	True	3486	27	1	13	25	145240635
50	4208765463	False	2343	7	9	6	9	145240635
51	4208421728	False	2147	22	14	10	14	145240635
52	4207493499	False	1944	98	8	4	11	145240635
53	4207421902	True	2502	5	12	4	16	145240635
54	4205812834	True	2788	9	10	6	25	145240635
55	4205772142	False	3202	17	13	10	16	145240635
56	4204282863	False	2336	17	9	6	16	145240635
57	4204033917	False	2141	5	1	9	10	145240635
58	4203959303	True	3106	17	18	7	17	145240635
59	4203772949	False	1308	17	10	2	1	145240635
60	4202469676	True	2395	5	3	14	16	145240635
61	4202409153	False	3131	17	16	5	16	145240635
62	4202153697	False	1571	17	9	4	6	145240635
63	4201750068	True	3312	35	25	8	10	145240635
64	4200438326	True	2264	5	11	7	10	145240635
65	4200313000	False	3127	5	4	16	31	145240635
66	4198593408	True	4663	73	16	13	30	145240635
67	4198561881	True	980	49	1	4	3	145240635
68	4197056145	False	3099	17	12	4	15	145240635
69	4196981309	True	1994	6	12	3	11	145240635
70	4195539489	True	1917	5	5	4	21	145240635
71	4193946659	True	3248	5	3	16	20	145240635
72	4193918694	True	1918	83	6	5	14	145240635
73	4192376101	True	2870	84	9	7	26	145240635
74	4191991419	False	3752	11	5	8	10	145240635
75	4190583610	True	2826	112	9	11	13	145240635
76	4190112326	True	2168	48	12	6	11	145240635
77	4188984481	False	2074	5	0	11	14	145240635
78	4188871407	False	3499	5	9	14	30	145240635
79	4188801754	False	2740	10	7	7	7	145240635
80	4188734418	False	2520	10	11	4	13	145240635
81	4188456069	True	1751	10	1	9	4	145240635
82	4186680517	False	1985	10	11	5	2	145240635
83	4186586157	False	2881	10	17	6	15	145240635
84	4185110730	True	1797	96	3	5	20	145240635
85	4183624625	False	3049	40	10	8	30	145240635
86	4182108551	False	2776	84	11	10	29	145240635
87	4180629215	False	3500	63	7	9	23	145240635
88	4180206461	True	1716	6	5	6	9	145240635
89	4180130045	True	1610	32	11	6	8	145240635
90	4178866972	True	2855	72	11	5	15	145240635
91	4178687469	False	2151	5	7	3	25	145240635
92	4178651659	True	1265	50	2	3	21	145240635
93	4178572619	False	3125	73	11	7	16	145240635
94	4178294420	False	2149	40	8	9	23	145240635
95	4178199141	False	2281	48	9	4	20	145240635
96	4176354878	True	2312	63	8	10	7	145240635
97	4176235117	True	2288	22	20	3	17	145240635
98	4175207477	False	2656	22	3	5	21	145240635
99	4173866241	True	1470	12	1	2	9	145240635
100	4172862726	False	2704	25	13	9	5	145240635
101	4172382782	False	3158	39	9	8	10	145240635
102	4172345271	True	2907	105	9	14	7	145240635
103	4172303755	True	1923	35	19	2	11	145240635
104	4168917147	True	2857	67	6	7	14	145240635
105	4168834817	False	1653	50	4	3	28	145240635
106	4167386760	False	2027	85	3	6	20	145240635
107	4167314604	True	2281	8	9	6	9	145240635
108	4166803906	True	2738	112	4	9	29	145240635
109	4165692731	True	2721	101	8	8	16	145240635
110	4165666049	True	1381	83	5	2	8	145240635
111	4162555632	True	3266	17	6	14	15	145240635
112	4159534344	True	2181	7	3	10	12	145240635
113	4158038938	False	2703	70	13	9	9	145240635
114	4157955866	True	1829	36	7	8	11	145240635
115	4157921381	False	1536	63	16	5	14	145240635
116	4155796911	True	2705	63	21	3	26	145240635
117	4155725185	True	1648	41	11	2	7	145240635
118	4154703139	True	1431	6	1	8	4	145240635
119	4154618047	False	2763	11	13	6	10	145240635
120	4154556843	True	1852	36	9	6	7	145240635
121	4124889112	True	2176	17	15	6	14	145240635
122	4122121824	False	2615	20	6	9	30	145240635
123	4122079922	True	1949	85	3	8	11	145240635
124	4107808631	False	1908	39	3	5	7	145240635
125	4107678350	True	1396	36	17	3	7	145240635
126	4107627560	False	606	99	0	4	0	145240635
127	4107513738	True	3225	5	1	6	29	145240635
128	4107433615	False	1585	6	0	3	12	145240635
129	4091241547	True	2204	112	2	3	20	145240635
130	4078806333	True	4013	14	8	10	20	145240635
131	4078721803	True	2451	14	6	7	14	145240635
132	4060502354	True	2011	106	12	8	14	145240635
133	4060444646	True	3449	104	17	16	26	145240635
134	4058929904	False	3156	104	20	14	13	145240635
135	4058900493	True	1998	26	2	9	12	145240635
136	4058842517	False	1984	106	23	2	18	145240635
137	4057279865	True	3612	114	10	15	9	145240635
138	4057225464	True	1780	20	8	4	23	145240635
139	4057159698	True	3194	106	23	10	15	145240635
140	4055341202	False	3629	23	2	9	10	145240635
141	4055310038	False	1352	14	5	4	16	145240635
142	4055268745	True	1618	14	6	7	9	145240635
143	3980456163	False	2608	62	6	11	27	145240635
144	3980381611	True	2777	12	6	7	13	145240635
145	3980329342	True	2131	54	8	7	1	145240635
146	3904051397	False	2718	26	0	13	17	145240635
