	Hero_ID	Last Played	Games	Win	With Games	With win	Against Games	Against Win	Player ID
261	15	1511550798	14	5	14	7	36	19	207111394
262	53	1510727948	14	8	25	9	45	25	207111394
263	97	1511989250	13	6	55	25	64	35	207111394
264	26	1511809337	13	4	95	43	99	51	207111394
265	48	1512079865	12	7	44	23	54	24	207111394
266	109	1488079908	12	8	19	6	32	12	207111394
267	35	1511426679	12	5	93	53	150	68	207111394
268	86	1511128280	11	5	70	31	75	39	207111394
269	39	1486484516	11	4	46	21	57	31	207111394
270	70	1486280361	11	2	52	31	62	30	207111394
271	112	1485026052	10	7	36	23	30	12	207111394
272	94	1510913330	10	4	37	19	45	21	207111394
273	46	1485022205	10	1	23	9	45	21	207111394
274	54	1473942447	9	6	45	26	79	37	207111394
275	68	1511241622	9	6	34	20	38	21	207111394
276	36	1478156105	9	5	75	42	104	39	207111394
277	56	1510289330	9	3	44	22	36	21	207111394
278	104	1511356913	8	5	97	51	132	63	207111394
279	38	1510955311	8	4	22	9	16	9	207111394
280	72	1485332665	8	4	20	9	30	17	207111394
281	19	1471886965	8	3	49	21	52	27	207111394
282	25	1469185496	7	4	52	23	56	30	207111394
283	50	1511605680	7	2	41	14	45	22	207111394
284	5	1511718010	7	2	51	27	86	39	207111394
285	82	1511646325	7	4	24	12	33	19	207111394
286	22	1511299655	7	3	65	34	60	22	207111394
287	51	1486022332	6	3	29	12	28	11	207111394
288	37	1484054506	6	5	17	9	18	6	207111394
289	100	1511419867	6	1	21	7	36	22	207111394
290	103	1478326474	6	1	14	6	24	8	207111394
291	32	1511429766	6	3	71	31	84	41	207111394
292	88	1511422866	6	3	42	22	35	17	207111394
293	77	1473952195	5	4	17	10	15	9	207111394
294	76	1516871593	5	3	28	14	40	25	207111394
295	73	1486538331	5	1	37	18	66	35	207111394
296	81	1511532814	5	2	17	6	29	14	207111394
297	44	1487082162	5	1	126	64	169	85	207111394
298	43	1464874699	5	3	14	6	22	9	207111394
299	113	1510631790	5	2	5	2	10	3	207111394
300	20	1512087286	5	2	66	38	72	38	207111394
301	27	1511295578	4	2	43	19	54	23	207111394
302	78	1511456944	4	2	5	1	11	5	207111394
303	89	1471713948	4	2	10	5	16	9	207111394
304	55	1485770726	4	1	23	10	16	4	207111394
305	47	1512075735	4	3	40	20	38	19	207111394
306	101	1480493675	4	3	27	13	31	20	207111394
307	96	1512109061	4	2	33	17	38	16	207111394
308	95	1469795343	4	2	39	16	28	18	207111394
309	58	1470909197	4	1	20	8	27	17	207111394
310	119	1511012626	4	2	6	2	10	4	207111394
311	87	1511936352	4	2	47	22	44	22	207111394
312	67	1511763616	4	2	58	29	62	24	207111394
313	63	1478429161	4	3	36	15	58	30	207111394
314	110	1509550073	3	0	17	5	29	13	207111394
315	57	1511245530	3	1	48	26	76	30	207111394
316	111	1471165929	3	1	12	5	18	10	207111394
317	69	1485323904	3	0	19	7	18	13	207111394
318	45	1474114137	3	2	23	10	34	9	207111394
319	33	1478167529	3	2	34	13	41	19	207111394
320	90	1511978730	3	0	43	18	39	17	207111394
321	6	1509539255	3	2	77	38	110	49	207111394
322	4	1485197180	2	0	50	25	59	33	207111394
323	12	1478439656	2	2	34	13	29	13	207111394
324	83	1511177936	2	1	22	9	19	5	207111394
325	99	1472621300	2	0	42	19	76	36	207111394
326	66	1511307883	2	2	3	1	8	4	207111394
327	3	1509561741	2	0	13	2	25	12	207111394
328	52	1474558491	2	1	10	6	13	5	207111394
329	61	1485155038	1	0	12	4	9	8	207111394
330	91	1477374692	1	0	6	1	7	3	207111394
331	85	1485981328	1	0	26	12	24	11	207111394
332	120	1510946101	1	0	12	2	2	1	207111394
333	108	1471980376	1	0	17	8	17	8	207111394
334	29	1485103362	1	0	50	32	55	21	207111394
335	64	1487469763	1	0	34	16	30	13	207111394
336	30	1471815433	1	0	40	17	47	22	207111394
337	42	1453135367	1	1	43	21	70	31	207111394
338	31	1510486131	1	0	25	15	32	13	207111394
339	114	1483821286	1	1	22	4	32	14	207111394
340	105	0	0	0	19	10	27	15	207111394
341	71	0	0	0	43	22	72	32	207111394
342	102	0	0	0	22	8	33	13	207111394
343	92	0	0	0	6	2	4	1	207111394
344	59	0	0	0	45	17	52	22	207111394
345	40	0	0	0	23	11	32	14	207111394
346	80	0	0	0	14	6	13	5	207111394
347	121	0	0	0	0	0	0	0	207111394
348	8	1537916440	46	22	82	37	150	75	196011254
349	75	1530145811	41	25	70	39	56	23	196011254
350	54	1535840981	41	20	33	14	39	19	196011254
351	67	1537050440	39	24	62	33	57	22	196011254
352	14	1538259224	36	16	150	76	230	106	196011254
353	36	1538344563	34	21	78	39	72	24	196011254
354	6	1537038471	33	22	53	26	41	15	196011254
355	35	1538341053	26	17	55	28	64	26	196011254
356	48	1529336521	25	6	39	19	64	28	196011254
357	26	1534892278	24	12	90	36	100	59	196011254
358	2	1536896842	23	11	57	29	97	43	196011254
359	70	1537119799	23	12	22	16	58	29	196011254
360	1	1530205599	23	11	57	25	78	32	196011254
361	74	1538174031	21	7	84	32	186	90	196011254
362	64	1535329577	20	11	34	15	49	26	196011254
363	63	1536688882	20	7	44	22	49	22	196011254
364	112	1535861310	19	11	29	12	31	16	196011254
365	44	1537024436	18	8	64	28	97	43	196011254
366	99	1537629220	18	4	44	24	72	37	196011254
367	5	1537565853	18	10	72	36	92	50	196011254
368	17	1539611522	18	9	130	65	87	40	196011254
369	101	1538407104	17	3	31	9	37	20	196011254
370	7	1538179723	17	13	87	38	99	42	196011254
371	13	1533774845	15	9	20	9	30	12	196011254
372	20	1535995590	15	8	63	29	56	16	196011254
373	71	1531518070	15	8	62	34	53	27	196011254
374	96	1532884654	15	9	40	21	23	9	196011254
375	12	1537143480	15	8	38	18	29	15	196011254
376	68	1537146634	14	4	42	21	41	16	196011254
377	27	1528331728	12	4	57	27	71	23	196011254
378	51	1530118242	12	4	40	17	37	20	196011254
379	40	1531081533	10	4	38	17	46	22	196011254
380	100	1537158731	10	3	27	9	52	26	196011254
381	90	1533999515	10	1	21	9	30	15	196011254
382	62	1532220866	10	4	35	14	46	18	196011254
383	30	1530407682	10	3	63	31	50	25	196011254
384	41	1535084983	10	0	50	19	70	35	196011254
385	34	1538431263	9	4	67	29	97	45	196011254
386	94	1537397224	9	4	25	13	23	12	196011254
387	104	1530671565	9	2	62	23	98	45	196011254
388	86	1538101233	8	2	69	25	79	34	196011254
389	42	1538008670	8	2	34	20	54	22	196011254
390	43	1529939699	8	5	13	3	15	5	196011254
391	84	1537909704	8	6	57	27	62	26	196011254
392	83	1530043560	8	4	24	13	30	15	196011254
393	28	1533077774	8	3	43	19	49	18	196011254
394	73	1537996328	8	4	17	7	49	23	196011254
395	4	1536934685	7	2	62	30	92	47	196011254
396	39	1538322358	7	3	37	10	47	27	196011254
397	15	1526730944	7	4	19	11	21	12	196011254
398	47	1533851805	7	1	32	7	42	24	196011254
399	32	1538254257	7	2	48	25	62	24	196011254
400	53	1519448597	7	2	29	13	33	20	196011254
401	9	1536881045	7	4	95	46	101	47	196011254
402	97	1502236736	7	4	30	9	45	18	196011254
403	11	1538402983	6	2	66	21	128	65	196011254
404	88	1526956452	6	2	30	15	41	14	196011254
405	21	1535075622	6	2	77	33	71	37	196011254
406	3	1535670468	6	4	13	4	26	13	196011254
407	31	1529030694	6	2	53	24	41	17	196011254
408	59	1537027543	6	1	28	15	20	7	196011254
409	46	1535033672	6	2	19	8	32	19	196011254
410	22	1536614224	6	5	80	38	79	27	196011254
411	85	1532288112	6	5	17	12	20	12	196011254
412	50	1526438863	6	3	27	9	30	19	196011254
413	110	1536272980	5	3	29	12	26	10	196011254
414	81	1537133068	5	4	19	11	29	13	196011254
415	29	1528741791	5	2	22	10	32	15	196011254
416	58	1501541837	5	2	20	6	11	6	196011254
417	57	1529624255	5	2	28	13	41	17	196011254
418	72	1526725845	5	1	12	7	22	12	196011254
419	87	1530395801	4	3	32	15	41	18	196011254
420	69	1523246743	4	2	24	16	24	10	196011254
421	106	1536872620	4	0	32	16	36	14	196011254
422	103	1538190708	4	0	11	9	10	2	196011254
423	33	1536960848	4	3	30	18	30	14	196011254
424	93	1538010923	4	0	50	24	111	52	196011254
425	55	1504119325	4	3	11	5	19	6	196011254
426	114	1538434062	4	2	36	13	56	27	196011254
427	18	1527200396	4	2	36	12	65	30	196011254
428	76	1536632111	4	1	55	29	41	21	196011254
429	49	1529619131	3	1	25	13	32	13	196011254
430	56	1536771899	3	0	28	12	32	11	196011254
431	19	1526838558	3	1	21	11	28	21	196011254
432	45	1507246534	3	1	22	11	25	13	196011254
433	25	1536704176	3	2	58	32	52	30	196011254
434	95	1538089211	3	2	30	17	49	24	196011254
435	38	1504115412	3	2	11	4	9	5	196011254
436	105	1518637817	3	0	19	10	26	11	196011254
437	79	1529348118	3	3	17	7	14	6	196011254
438	98	1530310476	2	1	32	14	41	17	196011254
439	108	1501812858	2	1	19	12	27	10	196011254
440	89	1435889056	2	2	7	3	13	5	196011254
441	37	1528987559	2	1	26	17	23	6	196011254
442	23	1530333899	2	0	46	20	77	41	196011254
443	16	1496169373	2	0	39	16	58	28	196011254
444	52	1527027745	2	0	8	4	14	7	196011254
445	92	1508988598	1	0	9	5	4	2	196011254
446	60	1496177649	1	0	20	13	27	13	196011254
447	120	1526863082	1	1	27	12	16	3	196011254
448	109	1500579398	1	0	21	9	20	13	196011254
449	77	1498080117	1	0	5	3	11	2	196011254
450	78	1497659685	1	0	11	2	13	5	196011254
