	Match_ID	Status	Duration	Hero ID	Kills	Deaths	Assists	Player ID
58	4122046502	False	1758	21	6	11	3	143220156
59	4121992526	False	2504	38	3	12	15	143220156
60	4121869421	True	2518	9	4	5	17	143220156
61	4120216191	False	1637	30	6	4	19	143220156
62	4114598973	False	2474	9	4	7	16	143220156
63	4112941256	True	1966	35	12	4	13	143220156
64	4112899666	False	1802	16	5	13	5	143220156
65	4109542955	True	2817	63	10	7	16	143220156
66	4107845157	True	2054	79	2	10	10	143220156
67	4107763029	False	4413	67	17	14	39	143220156
68	4107619628	False	4026	106	11	10	21	143220156
69	4107505405	True	3680	22	17	4	36	143220156
70	4107410242	False	2436	21	8	8	11	143220156
71	4107292483	True	1960	76	5	9	2	143220156
72	4107174413	False	2860	86	4	17	18	143220156
73	4105462394	False	2633	121	8	11	19	143220156
74	4105335611	False	2761	9	4	3	22	143220156
75	4103961939	False	3179	44	11	7	14	143220156
76	4103934020	True	1773	14	10	4	16	143220156
77	4103809728	False	2267	29	5	3	19	143220156
78	4103720826	True	3349	14	5	12	21	143220156
79	4102100834	True	1872	98	2	5	4	143220156
80	4100503988	False	3663	21	22	9	15	143220156
81	4098913124	False	2752	9	12	14	14	143220156
82	4098885932	True	1706	68	2	3	29	143220156
83	4098808011	True	3028	76	14	4	8	143220156
84	4095380731	True	3561	34	3	9	12	143220156
85	4095348252	True	1885	9	8	2	22	143220156
86	4095310381	False	1826	35	4	8	4	143220156
87	4095094769	True	2729	22	3	4	18	143220156
88	4094874507	False	1669	35	14	4	14	143220156
89	4093094865	False	4458	14	27	10	30	143220156
90	4088581596	False	3296	76	14	11	14	143220156
91	4082609276	True	2326	73	4	6	10	143220156
92	4082483049	False	2950	22	16	7	46	143220156
93	4078360782	True	3633	104	21	7	13	143220156
94	4078280820	True	3421	14	20	11	12	143220156
95	4072468795	True	1712	90	3	9	4	143220156
96	4072393038	True	2235	34	11	6	20	143220156
97	4072335100	True	1746	14	3	5	16	143220156
98	4072138634	False	2011	11	6	10	4	143220156
99	4072053765	True	1919	9	4	12	5	143220156
100	4071907532	True	3621	2	24	11	23	143220156
101	4064680175	True	3239	51	9	7	19	143220156
102	4063427160	True	2939	67	11	8	21	143220156
103	4063378683	True	2346	47	8	11	10	143220156
104	4063307116	False	3136	13	21	8	15	143220156
